2025-11-02 17:00:05 | Temp: 57�F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_170027.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:05:05 | Temp: 57�F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_170531.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:10:05 | Temp: 57�F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_171029.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:15:04 | Temp: 57�F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_171530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:20:04 | Temp: 57�F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_172030.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:25:05 | Temp: 57�F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_172529.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:30:05 | Temp: 55�F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_173030.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:33:47 | Temp: 55�F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_173412.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:35:03 | Temp: 55�F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_173526.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:40:05 | Temp: 55�F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_174034.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:45:05 | Temp: 55�F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_174526.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:50:04 | Temp: 55�F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_175026.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:55:05 | Temp: 55�F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_175529.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:00:05 | Temp: 53�F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_180028.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
