2025-11-02 17:00:05 | Temp: 59�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_170016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:05:05 | Temp: 59�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_170515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:10:05 | Temp: 57�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_171015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:15:04 | Temp: 59�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_171515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:20:04 | Temp: 57�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_172016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:25:05 | Temp: 57�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_172514.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:30:05 | Temp: 57�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_173016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:33:47 | Temp: 57�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_173357.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:35:03 | Temp: 57�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_173514.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:40:05 | Temp: 57�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_174018.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:45:05 | Temp: 55�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_174515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:50:04 | Temp: 55�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_175015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:55:05 | Temp: 55�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_175516.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:00:05 | Temp: 55�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_180015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:05:04 | Temp: 53�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_180516.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:10:06 | Temp: 53�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_181016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:15:05 | Temp: 53�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_181516.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:20:05 | Temp: 53�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_182015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:25:06 | Temp: 53�F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_182519.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:29:50 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_183001.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:35:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_183517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:40:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_184014.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:45:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_184517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:50:04 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_185018.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:55:06 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_185515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:00:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_190016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:05:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_190517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:10:06 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_191017.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:15:06 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_191517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:20:06 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_192020.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:25:06 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_192515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:30:06 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_193017.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:35:06 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_193518.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:40:06 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_194016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:45:06 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_194515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:50:06 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_195016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:55:06 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_195517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:00:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_200015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:05:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_200520.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:10:06 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_201018.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:15:07 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_201519.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:20:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_202016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:25:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_202515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:30:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_203016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:35:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_203517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:40:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_204015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:45:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_204515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:50:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_205016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:55:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_205519.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:00:10 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_210019.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:05:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_210518.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:10:05 | Temp: 53°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_211018.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:15:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_211517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:20:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_212017.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:25:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251102_212515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
