2025-11-02 17:00:05 | Temp: 55�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_170038.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:05:05 | Temp: 55�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_170538.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:10:05 | Temp: 55�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_171036.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:15:04 | Temp: 55�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_171534.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:20:04 | Temp: 55�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_172041.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:25:05 | Temp: 53�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_172538.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:30:05 | Temp: 52�F | Battery: ok | WiFi: 4/5 | Image: garage-door_20251102_173037.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:33:47 | Temp: 53�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_173423.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:35:03 | Temp: 53�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_173533.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:40:05 | Temp: 53�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_174038.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:45:05 | Temp: 53�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_174532.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:50:04 | Temp: 53�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_175031.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 17:55:05 | Temp: 53�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_175537.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:00:05 | Temp: 51�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_180032.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:05:04 | Temp: 50�F | Battery: ok | WiFi: 4/5 | Image: garage-door_20251102_180531.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:10:06 | Temp: 51�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_181038.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:15:05 | Temp: 51�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_181537.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:20:05 | Temp: 51�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_182040.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:25:06 | Temp: 51�F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_182539.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:29:50 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_183022.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:35:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_183536.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:40:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_184032.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:45:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_184536.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:50:04 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_185035.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 18:55:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_185539.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:00:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_190033.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:05:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_190536.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:10:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_191032.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:15:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_191540.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:20:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_192040.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:25:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_192537.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:30:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_193036.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:35:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_193534.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:40:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_194036.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:45:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_194536.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:50:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_195034.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 19:55:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_195540.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:00:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_200036.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:05:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_200536.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:10:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_201034.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:15:07 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_201536.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:20:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_202038.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:25:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_202536.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:30:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_203036.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:35:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_203535.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:40:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_204036.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:45:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_204535.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:50:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_205036.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 20:55:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_205540.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:00:10 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_210044.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:05:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_210539.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:10:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_211038.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:15:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_211538.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:20:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_212036.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:25:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_212534.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:30:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_213036.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:35:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_213534.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:40:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_214036.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:45:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_214538.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:50:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_215036.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:55:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_215534.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:00:14 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_220046.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:05:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_220534.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:10:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_221034.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:15:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_221537.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:20:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_222036.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:25:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_222535.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:30:06 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_223042.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:35:05 | Temp: 50°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_223536.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:40:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_224040.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:45:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_224537.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:50:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_225036.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:55:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_225535.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:00:05 | Temp: 51°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251102_230040.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
